country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
"Iran, Islamic Rep.",IRN,1999,559000000,1321000,2.512811292,,4.015103839,1.13848E+11,20.07070781,
Iraq,IRQ,1999,,30000,,,,36881601584,12.57776234,
Iceland,ISL,1999,380000000,281000,13.04127505,257000,13.26506715,8982047589,3.231832609,2.178
Israel,ISR,1999,4800000000,2566000,12.70883529,3203000,8.355051732,1.21167E+11,5.18102372,11.183
Italy,ITA,1999,29570000000,59521000,10.18841201,42390000,7.28281861,1.255E+12,1.66345995,11.681
Jamaica,JAM,1999,1486000000,2013000,42.73184759,,6.386269521,8887057997,5.954239491,15.74
Jordan,JOR,1999,1016000000,3231000,28.75280406,1561000,10.74151333,8149929478,0.606256568,
Japan,JPN,1999,5715000000,4438000,1.242171186,16358000,10.54264889,4.63598E+12,-0.341296928,4.677
Kazakhstan,KAZ,1999,394000000,394000,5.692654453,,6.741539738,16870817182,8.296027653,13.46
Kenya,KEN,1999,1211000000,969000,28.24602152,,,12896010459,5.742001095,10.004
Kyrgyz Republic,KGZ,1999,18000000,165000,3.412306946,,3.826026372,1249061487,37.03092584,
Cambodia,KHM,1999,240000000,368000,16.85078691,49000,2.176723746,3517242477,4.008207021,0.039
Kiribati,KIR,1999,2799999.952,20299.99924,,,,77323948.45,,
St. Kitts and Nevis,KNA,1999,69000000,226000,47.25428028,,,406595484.4,3.363036304,
"Korea, Rep.",KOR,1999,8337000000,4660000,5.075576596,4342000,4.032120503,4.97514E+11,0.812957254,6.342
Kuwait,KWT,1999,342000000,1884000,2.480990778,1209000,21.66754285,30122365849,2.990810359,0.7
Latin America & Caribbean (excluding high income),LAC,1999,24370717865,131143148.5,7.882987356,135650716.2,5.884022761,1.81033E+12,5.036029043,9.632850007
Lao PDR,LAO,1999,86000000,614000,22.35508188,,3.427419355,1454430642,125.2721284,
Lebanon,LBN,1999,673000000,673000,,,,17391056369,,
Liberia,LBR,1999,,,,,,441800000,,
Libya,LBY,1999,39000000,965000,0.531705467,,10.84915364,35975860857,2.648622523,
St. Lucia,LCA,1999,263000000,666000,71.14874004,,,921851851.9,3.503797841,18.09
Latin America & Caribbean,LCN,1999,35440720364,154422845.4,8.277322047,140035995.9,5.969708407,2.10778E+12,3.454397936,9.725860923
Least developed countries: UN classification,LDC,1999,3238256831,7950686.093,11.02454586,,5.187539726,1.97361E+11,5.777368987,
Low income,LIC,1999,1349387977,,,,,1.00712E+11,1.666105324,
Liechtenstein,LIE,1999,,60000,,,,2664105901,,1.78
Sri Lanka,LKA,1999,414000000,465000,7.445371221,497000,5.0301353,15656327860,4.69170563,8.88
Lower middle income,LMC,1999,,57315220.18,,,,1.12283E+12,4.69170563,
Low & middle income,LMY,1999,,346142020.4,9.172475519,294310725,6.09273179,5.22498E+12,4.680763005,
Lesotho,LSO,1999,23100000.38,308000,10.14671816,,1.539933648,912773681.1,,27.27
Late-demographic dividend,LTE,1999,,266217659.7,10.23967195,123988966.3,6.924630099,3.11222E+12,3.388007542,5.363724261
Lithuania,LTU,1999,591000000,4454000,16.17949106,,7.365389613,11022095814,0.727550627,13.388
Luxembourg,LUX,1999,,863000,,809000,,21899317599,1.025196765,2.39
Latvia,LVA,1999,153000000,1738000,5.777945619,2256000,9.6127931,7324192890,2.364818361,13.79
"Macao SAR, China",MAC,1999,2598000000,7444000,,,,6547670439,-3.204162482,6.348
St. Martin (French part),MAF,1999,,,,,,,,
Morocco,MAR,1999,2177000000,4088000,24.68938535,1545000,5.692971157,46266428648,0.684782609,13.94
Monaco,MCO,1999,,278000,,,,2907118641,,
Moldova,MDA,1999,49000000,14000,8.889856492,,9.444938745,1170782957,39.25598069,11.14
Madagascar,MDG,1999,137000000,,18.77123895,,13.05975549,4277903780,9.929533993,
Maldives,MDV,1999,,430000,,42000,12.5532289,589239753.6,2.953708361,
Middle East & North Africa,MEA,1999,,,13.23365847,,8.2503977,8.88446E+11,2.648622523,
Mexico,MEX,1999,8135000000,99869000,5.493065381,117383000,3.318714095,6.31249E+11,16.58561697,2.598
Marshall Islands,MHL,1999,2900000.095,4599.999905,,,,113352100,,
Middle income,MIC,1999,,339709726.8,9.168022939,274313571.4,6.094454602,5.12415E+12,4.861922675,
North Macedonia,MKD,1999,80000000,181000,7.360665917,,2.720326622,3863619285,-1.279286576,32.4
Mali,MLI,1999,36000000,82000,5.28624714,,6.648723414,3440724710,-1.201903686,
Malta,MLT,1999,841000000,1402000,25.99811737,,6.711791325,4111890473,2.134768888,5.3
Myanmar,MMR,1999,222000000,435000,12.41494899,,1.062168018,8486832801,18.40104337,
Middle East & North Africa (excluding high income),MNA,1999,17543367793,23817985.98,15.98882474,,5.824054831,4.49128E+11,2.690124858,
Montenegro,MNE,1999,,,,,,828950327.4,,
Mongolia,MNG,1999,43000000,160000,8.186798696,,6.898568792,1057408589,7.564941503,
Northern Mariana Islands,MNP,1999,,502000,,,,,,
Mozambique,MOZ,1999,,,,,,6285219691,,
Mauritania,MRT,1999,,24000,,,,1985922776,4.074176136,
Mauritius,MUS,1999,718000000,600000,27.35434499,154000,7.404583223,4402193195,6.909146249,
Malawi,MWI,1999,42000000,254000,8.439232186,,6.844575061,2584478924,44.80416429,
Malaysia,MYS,1999,4403000000,7931000,4.588006534,26067000,3.128473547,79148421053,2.744561302,3.43
North America,NAC,1999,1.39171E+11,125400000,9.621758445,111304509.8,6.11866251,1.03129E+13,1.961435074,4.554962503
Namibia,NAM,1999,,694000,,,,3868551730,,
New Caledonia,NCL,1999,,100000,,69000,,3647802050,,
Niger,NER,1999,25100000.38,39000,7.819035553,,7.365267878,2537789821,-2.302125038,
Nigeria,NGA,1999,99000000,1425000,0.7144979,,5.305110454,59145077039,6.618373395,
Nicaragua,NIC,1999,128000000,530000,15.21776865,452000,5.608028335,4856026259,,
Netherlands,NLD,1999,12451000000,9874000,5.145955019,14184000,6.027348519,4.47779E+11,2.157179181,3.623
Norway,NOR,1999,2750000000,3223000,4.40086068,2271000,10.19473824,1.62384E+11,2.365967366,3.247
Nepal,NPL,1999,229000000,492000,18.06855483,125000,6.797055567,5033642384,7.45111261,1.85
Nauru,NRU,1999,,,,,,27328612.61,,
New Zealand,NZL,1999,2234000000,1607000,,1185000,,58762260626,-0.11426713,7.023
OECD members,OED,1999,3.91952E+11,883337847.1,7.649828708,642904827.8,7.607260607,2.70815E+13,2.172603189,7.1756471
Oman,OMN,1999,350000000,,4.574984017,,9.69646576,17832769831,,
Other small states,OSS,1999,,20547389.64,24.37921884,,9.084767824,54539803687,3.296110897,
Pakistan,PAK,1999,492000000,432000,5.500279486,,3.865110246,62973857069,4.142637181,5.35
Panama,PAN,1999,506000000,555000,7.118338867,221000,3.343143329,11660704800,1.247182569,11.75
Peru,PER,1999,911000000,,12.21775395,513000,7.52280071,50187324568,3.469659963,4.367
Philippines,PHL,1999,2652000000,2171000,11.24729632,1755000,5.571593533,85640171045,5.939049018,9.809
Palau,PLW,1999,,55000,,,,144206500,,
Papua New Guinea,PNG,1999,,,,58000,,3477038204,14.93218174,
Poland,POL,1999,6498000000,89118000,16.91174557,55097000,7.310895345,1.70704E+11,7.154072912,12.29
Pre-demographic dividend,PRE,1999,3563295293,7482302.792,7.089522662,,6.389055418,2.4488E+11,3.812372054,
Puerto Rico,PRI,1999,2139000000,4221000,,1134000,,57841000000,,11.81
"Korea, Dem. People's Rep.",PRK,1999,,,,,,,,
Portugal,PRT,1999,6047000000,11632000,17.88974205,,5.889182311,1.2747E+11,2.340094903,4.579
Paraguay,PRY,1999,95000000,6569000,2.489699092,281000,5.806865576,8837070236,6.752265861,5.343
West Bank and Gaza,PSE,1999,377000000,300000,36.27015463,,8.438521263,4271200000,5.544391804,
Pacific island small states,PSS,1999,540277889.6,,31.66986612,,7.07542827,3744260403,,
Post-demographic dividend,PST,1999,3.74758E+11,702246548.4,7.340179649,526129612.3,7.591546318,2.59551E+13,1.611761176,6.961077059
French Polynesia,PYF,1999,394000000,236000,,,,3911602004,,
Qatar,QAT,1999,,,,,,12393131868,2.181703204,
Romania,ROU,1999,306000000,5224000,3.158872716,6274000,3.821769801,35953156754,45.80378113,6.239
Russian Federation,RUS,1999,,18820000,,12631000,,1.95907E+11,85.7464941,13.036
Rwanda,RWA,1999,21000000,,,,,2157108263,-2.405932097,
South Asia,SAS,1999,,4705756.656,,6739016.039,,5.97995E+11,4.69170563,
Saudi Arabia,SAU,1999,,,,,,1.61717E+11,-1.333763502,4.346
Sudan,SDN,1999,2000000,39000,0.232099339,,2.286236854,10682028340,17.16644542,
Senegal,SEN,1999,183000000,,12.68361277,,7.543299657,6592834933,0.827250608,
Singapore,SGP,1999,5089000000,6958000,3.336879957,3971000,3.059466305,86286849755,0.016709834,4.85
Solomon Islands,SLB,1999,9699999.809,,4.39172499,,5.771142948,488024514.4,8.020368393,
Sierra Leone,SLE,1999,6000000,,20.95594384,13000,23.54729791,669386624,,
El Salvador,SLV,1999,408000000,,18.37837838,787000,5.454158463,11284197000,0.51482713,7.3
San Marino,SMR,1999,,3148000,,,,1109473368,,3
Somalia,SOM,1999,,,,,,3045751528,,
Serbia,SRB,1999,,,,,,20878694851,42.45390546,13.7
Sub-Saharan Africa (excluding high income),SSA,1999,8961427913,19153012.33,9.269185471,,7.220629038,4.03399E+11,4.249552559,
South Sudan,SSD,1999,,,,,,,,
Sub-Saharan Africa,SSF,1999,9174543919,19286169.65,9.466838169,,7.208187987,4.04066E+11,4.356433745,
Small states,SST,1999,,32723887.64,30.2747826,,9.304192471,74869501280,2.953708361,
Sao Tome and Principe,STP,1999,9200000,5800.000191,56.18208247,,6.507659806,77302211.92,12.72517701,
Suriname,SUR,1999,45000000,72000,,,,886290697.7,98.77309141,13.6
Slovak Republic,SVK,1999,465000000,,3.842789725,,2.942005917,30496272225,10.57044161,16.099
Slovenia,SVN,1999,1011000000,884000,10.13706597,,5.334635513,22609669084,6.155587545,7.33
Sweden,SWE,1999,4943000000,2595000,4.652110048,,9.901114026,2.7432E+11,0.462175756,7.607
Eswatini,SWZ,1999,15000000,1253000,1.51819658,,2.854736433,1547888496,6.088860634,
Sint Maarten (Dutch part),SXM,1999,,1061000,,,,,,
Seychelles,SYC,1999,202000000,130000,47.75903472,32000,5.325899952,662838614.9,6.347305389,
Syrian Arab Republic,SYR,1999,,2682000,,2994000,,15873875969,-3.703703704,7.6
Turks and Caicos Islands,TCA,1999,238000000,,,,,,,
Chad,TCD,1999,15000000,46000,,,,1534673583,-8.025059627,
East Asia & Pacific (IDA & IBRD countries),TEA,1999,,100507097,9.393164519,24718026.03,6.500715818,1.57611E+12,4.290728517,3.599078211
Europe & Central Asia (IDA & IBRD countries),TEC,1999,,174152912.6,,115387853.3,,8.23773E+11,19.19267582,11.5626628
Togo,TGO,1999,10000000,70000,2.173603957,,2.740883046,2226577204,-0.053213625,
Thailand,THA,1999,9416000000,8651000,13.18578665,1655000,5.093658263,1.26669E+11,0.284726459,2.968
Tajikistan,TJK,1999,,4500,,4099.999905,,1086612290,,3
Turkmenistan,TKM,1999,,,,,,2450564100,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1999,25857520346,137308046.8,7.667393666,138591069.9,5.912263718,2.00286E+12,3.486728902,9.795681088
Timor-Leste,TLS,1999,,,,,,225357600,,
Middle East & North Africa (IDA & IBRD countries),TMN,1999,16987825615,23536182.14,15.66746215,,5.685671178,4.44857E+11,2.669373691,
Tonga,TON,1999,,44000,,,,199208705.4,4.464354677,
South Asia (IDA & IBRD),TSA,1999,,4559453.46,,6639313.584,,5.97995E+11,4.69170563,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1999,9174543919,19286169.65,9.466838169,,7.208187987,4.04066E+11,4.356433745,
Trinidad and Tobago,TTO,1999,365000000,421000,10.73940036,,3.526398084,6808982521,3.439135909,13.12
Tunisia,TUN,1999,2118000000,4832000,24.2441817,1480000,3.002825828,22943202175,2.690124858,15.21
Turkiye,TUR,1999,,7487000,,4758000,,2.56396E+11,64.86748764,7.687
Tuvalu,TUV,1999,,1100.000024,,2200.000048,,14800503.26,,
Tanzania,TZA,1999,467000000,627000,38.85835359,,18.23197156,12704334196,7.890433361,
Uganda,UGA,1999,,189000,,327000,,5998563258,5.777368987,
Ukraine,UKR,1999,503000000,10990000,3.130445606,,3.228749912,31580639554,22.68367181,11.864
Upper middle income,UMC,1999,,276411397.6,8.228781148,191743121.3,6.264377319,4.00128E+12,5.181492797,5.299674447
Uruguay,URY,1999,,2273000,,778000,,23983945191,5.658688039,10.466
United States,USA,1999,1.09188E+11,75796000,11.18132636,84540000,6.269404236,9.63117E+12,2.188027197,4.219
Uzbekistan,UZB,1999,102000000,487000,,202000,,17078465982,,
St. Vincent and the Grenadines,VCT,1999,,223000,,,,390718518.5,1.013550444,
"Venezuela, RB",VEN,1999,643000000,702000,2.881469863,754000,7.937697372,97972842462,,
British Virgin Islands,VGB,1999,339000000,284000,,,,,,
